Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage,Year,Gender,State,Percentage
2000,Female,Florida,5.9,Florida,6.6,2001,Female,Florida,6.2,2001,Male,Florida,6.6,2002,Female,Florida,6.6,2002,Male,Florida,7.4,Florida,6.9,2003,Male,Florida,8.7,2004,Female,Florida,6.9,2004,Male,Florida,7.3,2005,Female,Florida,7.6,2005,Male,Florida,8.4,2006,Female,Florida,6.3,2006,Male,Florida,9.1,2007,Female,Florida,6.9,2007,Male,Florida,8.6,2008,Female,Florida,7.4,2008,Male,Florida,9.6,2009,Female,Florida,8.8,2009,Male,Florida,10.6,2010,Female,Florida,7.4,2010,Male,Florida,10,2011,Female,Florida,8.2,2011,Male,Florida,9.9,Florida,8.9,2012,Male,Florida,11,Florida,8.4,2013,Male,Florida,10.5,2014,Female,Florida,9.7,2014,Male,Florida,9.2,Florida,8.9,2015,Male,Florida,9.8,2016,Female,Florida,9.1,2016,Male,Florida,10.6,2017,Female,Florida,8.5,2017,Male,Florida,8.8,2018,Female,Florida,9.4,2018,Male,Florida,11.7,2019,Female,Florida,8.4,2019,Male,Florida,10.6,2020,Female,Florida,9.1,2020,Male,Florida,9.8,2021,Female,Florida,No Data,2021,Male,Florida,No Data
2000,Female,Georgia,7.5,Georgia,6.8,2001,Female,Georgia,7.2,2001,Male,Georgia,6.8,2002,Female,Georgia,7.6,2002,Male,Georgia,7.3,Georgia,7.9,2003,Male,Georgia,8.8,2004,Female,Georgia,7.2,2004,Male,Georgia,8.7,2005,Female,Georgia,8.2,2005,Male,Georgia,9.7,2006,Female,Georgia,9,2006,Male,Georgia,10.6,2007,Female,Georgia,10.5,2007,Male,Georgia,11.2,2008,Female,Georgia,9.7,2008,Male,Georgia,10.8,2009,Female,Georgia,8.7,2009,Male,Georgia,11.4,2010,Female,Georgia,9.9,2010,Male,Georgia,9.8,2011,Female,Georgia,10.1,2011,Male,Georgia,10.5,Georgia,9.4,2012,Male,Georgia,10.1,Georgia,11,2013,Male,Georgia,9.8,2014,Female,Georgia,10.6,2014,Male,Georgia,11.5,Georgia,10.3,2015,Male,Georgia,11.2,2016,Female,Georgia,11.2,2016,Male,Georgia,11.7,2017,Female,Georgia,10.7,2017,Male,Georgia,10.6,2018,Female,Georgia,11.6,2018,Male,Georgia,11.8,2019,Female,Georgia,11.8,2019,Male,Georgia,10.6,2020,Female,Georgia,10.6,2020,Male,Georgia,11,2021,Female,Georgia,10.6,2021,Male,Georgia,12.3
2000,Female,Hawaii,4.4,Hawaii,6,2001,Female,Hawaii,5.2,2001,Male,Hawaii,6,2002,Female,Hawaii,6.1,2002,Male,Hawaii,4.9,Hawaii,7,2003,Male,Hawaii,7.3,2004,Female,Hawaii,No Data,2004,Male,Hawaii,No Data,2005,Female,Hawaii,6.2,2005,Male,Hawaii,7.8,2006,Female,Hawaii,7.5,2006,Male,Hawaii,7.9,2007,Female,Hawaii,6.7,2007,Male,Hawaii,7.7,2008,Female,Hawaii,7.7,2008,Male,Hawaii,7.7,2009,Female,Hawaii,8.2,2009,Male,Hawaii,7.6,2010,Female,Hawaii,6.9,2010,Male,Hawaii,8.3,2011,Female,Hawaii,7.6,2011,Male,Hawaii,8,Hawaii,6.7,2012,Male,Hawaii,7.3,Hawaii,7.2,2013,Male,Hawaii,7.7,2014,Female,Hawaii,8.2,2014,Male,Hawaii,9.6,Hawaii,7.3,2015,Male,Hawaii,8.2,2016,Female,Hawaii,8.9,2016,Male,Hawaii,10.4,2017,Female,Hawaii,10,2017,Male,Hawaii,9.8,2018,Female,Hawaii,9.2,2018,Male,Hawaii,11.4,2019,Female,Hawaii,8.5,2019,Male,Hawaii,10.2,2020,Female,Hawaii,8.5,2020,Male,Hawaii,10.6,2021,Female,Hawaii,7.2,2021,Male,Hawaii,9.1
2000,Female,Idaho,4.9,Idaho,4.7,2001,Female,Idaho,5.4,2001,Male,Idaho,4.7,2002,Female,Idaho,5.8,2002,Male,Idaho,6.7,Idaho,5.5,2003,Male,Idaho,7.2,2004,Female,Idaho,6.2,2004,Male,Idaho,6.2,2005,Female,Idaho,6.8,2005,Male,Idaho,7,2006,Female,Idaho,6.5,2006,Male,Idaho,7.2,2007,Female,Idaho,8.4,2007,Male,Idaho,7.3,2008,Female,Idaho,6.4,2008,Male,Idaho,7.6,2009,Female,Idaho,7.4,2009,Male,Idaho,8.1,2010,Female,Idaho,6.7,2010,Male,Idaho,8.8,2011,Female,Idaho,8,2011,Male,Idaho,10.1,Idaho,7.1,2012,Male,Idaho,8.6,Idaho,6.7,2013,Male,Idaho,9,2014,Female,Idaho,6.9,2014,Male,Idaho,7.3,Idaho,7.9,2015,Male,Idaho,6.8,2016,Female,Idaho,8.1,2016,Male,Idaho,8.2,2017,Female,Idaho,8.3,2017,Male,Idaho,7.7,2018,Female,Idaho,9.1,2018,Male,Idaho,9.3,2019,Female,Idaho,8.8,2019,Male,Idaho,9.8,2020,Female,Idaho,7.7,2020,Male,Idaho,8.2,2021,Female,Idaho,8.5,2021,Male,Idaho,9.1
2000,Female,Illinois,6.3,Illinois,5.9,2001,Female,Illinois,6.2,2001,Male,Illinois,5.9,2002,Female,Illinois,6.9,2002,Male,Illinois,6.8,Illinois,7.2,2003,Male,Illinois,7.7,2004,Female,Illinois,5.8,2004,Male,Illinois,6.4,2005,Female,Illinois,7.5,2005,Male,Illinois,8.5,2006,Female,Illinois,7.2,2006,Male,Illinois,9.1,2007,Female,Illinois,7.5,2007,Male,Illinois,10.1,2008,Female,Illinois,7.3,2008,Male,Illinois,9.1,2009,Female,Illinois,8.1,2009,Male,Illinois,7.8,2010,Female,Illinois,8.3,2010,Male,Illinois,8.8,2011,Female,Illinois,8,2011,Male,Illinois,10.9,Illinois,7.8,2012,Male,Illinois,10.1,Illinois,9.2,2013,Male,Illinois,9.3,2014,Female,Illinois,8.6,2014,Male,Illinois,10.3,Illinois,8.1,2015,Male,Illinois,10.3,2016,Female,Illinois,9.6,2016,Male,Illinois,9.5,2017,Female,Illinois,9.5,2017,Male,Illinois,10.8,2018,Female,Illinois,8.9,2018,Male,Illinois,9,2019,Female,Illinois,9.5,2019,Male,Illinois,10.6,2020,Female,Illinois,8.3,2020,Male,Illinois,10.4,2021,Female,Illinois,9.1,2021,Male,Illinois,10.5
2000,Female,Indiana,6.2,Indiana,5.8,2001,Female,Indiana,6.4,2001,Male,Indiana,5.8,2002,Female,Indiana,7.3,2002,Male,Indiana,7.6,Indiana,7.1,2003,Male,Indiana,8.4,2004,Female,Indiana,7,2004,Male,Indiana,8.3,2005,Female,Indiana,7.2,2005,Male,Indiana,9.1,2006,Female,Indiana,7.8,2006,Male,Indiana,8.1,2007,Female,Indiana,7.5,2007,Male,Indiana,8.8,2008,Female,Indiana,9.4,2008,Male,Indiana,9,2009,Female,Indiana,8.1,2009,Male,Indiana,9.9,2010,Female,Indiana,8.2,2010,Male,Indiana,10.5,2011,Female,Indiana,9.4,2011,Male,Indiana,10,Indiana,9.6,2012,Male,Indiana,10.6,Indiana,9.2,2013,Male,Indiana,10.9,2014,Female,Indiana,9.2,2014,Male,Indiana,10.6,Indiana,9.6,2015,Male,Indiana,11.5,2016,Female,Indiana,10.1,2016,Male,Indiana,10.8,2017,Female,Indiana,9.9,2017,Male,Indiana,11.5,2018,Female,Indiana,10,2018,Male,Indiana,12.5,2019,Female,Indiana,10,2019,Male,Indiana,12.4,2020,Female,Indiana,10.4,2020,Male,Indiana,10.7,2021,Female,Indiana,10,2021,Male,Indiana,11.7
2000,Female,Iowa,5.4,Iowa,6,2001,Female,Iowa,5,2001,Male,Iowa,6,2002,Female,Iowa,6,2002,Male,Iowa,6.4,Iowa,5.6,2003,Male,Iowa,6.9,2004,Female,Iowa,5.6,2004,Male,Iowa,6.3,2005,Female,Iowa,4.9,2005,Male,Iowa,7.9,2006,Female,Iowa,5.9,2006,Male,Iowa,7.6,2007,Female,Iowa,5.9,2007,Male,Iowa,6.5,2008,Female,Iowa,5.8,2008,Male,Iowa,7.1,2009,Female,Iowa,6.2,2009,Male,Iowa,7.8,2010,Female,Iowa,6.4,2010,Male,Iowa,7.3,2011,Female,Iowa,6.8,2011,Male,Iowa,7.8,Iowa,7.8,2012,Male,Iowa,9.6,Iowa,8.2,2013,Male,Iowa,8.5,2014,Female,Iowa,7.6,2014,Male,Iowa,9.3,Iowa,6.7,2015,Male,Iowa,8.7,2016,Female,Iowa,8.1,2016,Male,Iowa,8.2,2017,Female,Iowa,8.2,2017,Male,Iowa,8.5,2018,Female,Iowa,8.4,2018,Male,Iowa,9.1,2019,Female,Iowa,8.1,2019,Male,Iowa,10.1,2020,Female,Iowa,8.9,2020,Male,Iowa,9.1,2021,Female,Iowa,7.6,2021,Male,Iowa,9.6
2000,Female,Kansas,5.1,Kansas,6.3,2001,Female,Kansas,5.6,2001,Male,Kansas,6.3,2002,Female,Kansas,6.5,2002,Male,Kansas,6.4,Kansas,5.8,2003,Male,Kansas,6,2004,Female,Kansas,6.6,2004,Male,Kansas,6.2,2005,Female,Kansas,6,2005,Male,Kansas,7.6,2006,Female,Kansas,6.6,2006,Male,Kansas,7.6,2007,Female,Kansas,6.2,2007,Male,Kansas,7.8,2008,Female,Kansas,7.1,2008,Male,Kansas,8.5,2009,Female,Kansas,7.5,2009,Male,Kansas,8.8,2010,Female,Kansas,7.5,2010,Male,Kansas,8.5,2011,Female,Kansas,8.3,2011,Male,Kansas,9.8,Kansas,8.2,2012,Male,Kansas,9.4,Kansas,8.4,2013,Male,Kansas,9.4,2014,Female,Kansas,9.3,2014,Male,Kansas,9.8,Kansas,8.6,2015,Male,Kansas,9.2,2016,Female,Kansas,7.7,2016,Male,Kansas,9.4,2017,Female,Kansas,9.1,2017,Male,Kansas,10,2018,Female,Kansas,10.3,2018,Male,Kansas,10.7,2019,Female,Kansas,9.1,2019,Male,Kansas,10.5,2020,Female,Kansas,9.8,2020,Male,Kansas,10.3,2021,Female,Kansas,9.7,2021,Male,Kansas,10.4
2000,Female,Kentucky,5.7,Kentucky,7,2001,Female,Kentucky,6.1,2001,Male,Kentucky,7,2002,Female,Kentucky,6.1,2002,Male,Kentucky,7.9,Kentucky,6.9,2003,Male,Kentucky,9.9,2004,Female,Kentucky,7.6,2004,Male,Kentucky,7.4,2005,Female,Kentucky,8.3,2005,Male,Kentucky,8.9,2006,Female,Kentucky,8.2,2006,Male,Kentucky,11,2007,Female,Kentucky,9,2007,Male,Kentucky,9.9,2008,Female,Kentucky,9.7,2008,Male,Kentucky,9.2,2009,Female,Kentucky,10.5,2009,Male,Kentucky,11.6,2010,Female,Kentucky,8.9,2010,Male,Kentucky,9.8,2011,Female,Kentucky,10.1,2011,Male,Kentucky,10,Kentucky,9.6,2012,Male,Kentucky,10,Kentucky,9.5,2013,Male,Kentucky,10.1,2014,Female,Kentucky,11.3,2014,Male,Kentucky,11.4,Kentucky,11.1,2015,Male,Kentucky,13.3,2016,Female,Kentucky,10.8,2016,Male,Kentucky,12.9,2017,Female,Kentucky,11,2017,Male,Kentucky,11.8,2018,Female,Kentucky,11.7,2018,Male,Kentucky,12.5,2019,Female,Kentucky,11.2,2019,Male,Kentucky,12.4,2020,Female,Kentucky,10.7,2020,Male,Kentucky,12.1,2021,Female,Kentucky,11.5,2021,Male,Kentucky,13.2
2000,Female,Louisiana,7.2,Louisiana,6.1,2001,Female,Louisiana,8,2001,Male,Louisiana,6.1,2002,Female,Louisiana,6.9,2002,Male,Louisiana,7.6,Louisiana,8.6,2003,Male,Louisiana,8.5,2004,Female,Louisiana,8.2,2004,Male,Louisiana,8.4,2005,Female,Louisiana,8.8,2005,Male,Louisiana,9.5,2006,Female,Louisiana,9.2,2006,Male,Louisiana,8.7,2007,Female,Louisiana,9.7,2007,Male,Louisiana,10.3,2008,Female,Louisiana,10.1,2008,Male,Louisiana,10.5,2009,Female,Louisiana,9.9,2009,Male,Louisiana,11.7,2010,Female,Louisiana,10.1,2010,Male,Louisiana,9.6,2011,Female,Louisiana,10.7,2011,Male,Louisiana,12.3,Louisiana,11.8,2012,Male,Louisiana,11.3,Louisiana,11.6,2013,Male,Louisiana,10,2014,Female,Louisiana,9.8,2014,Male,Louisiana,11.1,Louisiana,11.5,2015,Male,Louisiana,12.3,2016,Female,Louisiana,11.7,2016,Male,Louisiana,10.4,2017,Female,Louisiana,13.2,2017,Male,Louisiana,12.1,2018,Female,Louisiana,13.1,2018,Male,Louisiana,12.6,2019,Female,Louisiana,10.7,2019,Male,Louisiana,12.2,2020,Female,Louisiana,12.9,2020,Male,Louisiana,12.4,2021,Female,Louisiana,12.3,2021,Male,Louisiana,12.6
