"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","2,532.9","14,700.0","23,633.9","33,446.0","55,254.4","Region"
"13","Africa","Angola","-","185.3","584.5","830.4","1,453.6","Country"
"29","Africa","Benin","-","70.6","50.4","71.5","123.7","Country"
"34","Africa","Botswana","-","93.9","69.1","95.6","148.5","Country"
"39","Africa","Burkina Faso","-","175.1","164.4","230.7","389.5","Country"
"40","Africa","Burundi","-","94.2","223.1","355.5","637.8","Country"
"41","Africa","Cabo Verde","-","13.1","7.3","9.6","12.1","Country"
"43","Africa","Cameroon","61.1","501.4","620.8","877.2","1,484.5","Country"
"46","Africa","Central African Republic","-","58.2","96.9","130.3","223.9","Country"
"47","Africa","Chad","-","197.1","268.3","382.6","700.1","Country"
"54","Africa","Comoros","-","23.5","34.6","47.8","77.6","Country"
"55","Africa","Congo","8.6","94.6","151.6","206.4","327.8","Country"
"63","Africa","Côte d'Ivoire","42.7","406.5","231.2","309.1","497.0","Country"
"65","Africa","Democratic Republic of the Congo","252.6","730.7","1,908.9","2,703.9","4,823.0","Country"
"67","Africa","Djibouti","-","26.1","53.7","73.4","96.7","Country"
"73","Africa","Equatorial Guinea","-","14.0","39.4","54.0","94.4","Country"
"74","Africa","Eritrea","-","95.5","94.2","139.0","224.7","Country"
"76","Africa","Eswatini","-","13.9","21.8","27.8","42.2","Country"
"77","Africa","Ethiopia","268.1","1,377.3","1,920.0","2,740.8","4,755.5","Country"
"84","Africa","Gabon","5.5","68.6","79.0","106.1","157.6","Country"
"85","Africa","Gambia","2.2","12.3","18.1","25.7","44.8","Country"
"88","Africa","Ghana","32.3","517.4","329.2","483.9","796.8","Country"
"95","Africa","Guinea","-","181.8","103.7","144.9","251.4","Country"
"96","Africa","Guinea-Bissau","-","19.1","16.8","22.7","36.1","Country"
"115","Africa","Kenya","190.4","769.3","821.5","1,239.9","1,964.9","Country"
"122","Africa","Lesotho","-","29.1","48.4","57.8","74.8","Country"
"123","Africa","Liberia","-","51.0","47.1","63.2","98.5","Country"
"128","Africa","Madagascar","75.0","428.0","535.8","742.1","1,202.8","Country"
"129","Africa","Malawi","-","352.3","486.0","699.2","1,184.5","Country"
"132","Africa","Mali","18.4","99.8","152.5","213.4","366.2","Country"
"136","Africa","Mauritania","-","60.6","45.0","62.0","96.5","Country"
"138","Africa","Mayotte","-","-","5.7","7.8","12.4","Country"
"145","Africa","Mozambique","117.3","294.7","349.3","512.4","956.7","Country"
"147","Africa","Namibia","-","74.1","75.0","102.5","166.4","Country"
"155","Africa","Niger","-","283.9","423.1","635.4","1,232.2","Country"
"156","Africa","Nigeria","209.4","3,054.5","3,623.5","4,941.6","7,988.3","Country"
"173","Africa","Réunion","-","92.6","-","-","-","Country"
"178","Africa","Rwanda","-","126.2","297.0","444.7","720.2","Country"
"184","Africa","Sao Tome and Principe","-","3.6","6.1","8.2","12.9","Country"
"186","Africa","Senegal","33.5","146.5","189.4","276.4","494.0","Country"
"188","Africa","Seychelles","-","3.5","6.6","7.5","7.6","Country"
"189","Africa","Sierra Leone","-","72.1","70.6","93.7","144.5","Country"
"194","Africa","Somalia","-","185.1","376.0","576.3","1,018.1","Country"
"195","Africa","South Africa","886.4","1,946.6","4,234.0","5,445.2","7,464.0","Country"
"196","Africa","South Sudan","-","-","246.2","361.8","590.6","Country"
"209","Africa","Togo","9.6","81.2","75.4","102.2","158.7","Country"
"217","Africa","Uganda","88.7","307.9","716.0","1,059.8","1,902.8","Country"
"221","Africa","United Republic of Tanzania","134.8","472.9","2,884.0","4,209.4","7,363.1","Country"
"230","Africa","Zambia","40.8","243.8","726.3","1,098.2","2,045.3","Country"
"231","Africa","Zimbabwe","55.4","550.9","106.4","142.7","231.5","Country"
