"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"5","South and Central America","South and Central America","8,553.3","25,121.5","32,497.1","40,000.0","49,000.0","Region"
"16","South and Central America","Argentina","760.9","1,531.8","1,806.8","2,086.0","2,552.0","Country"
"32","South and Central America","Bolivia (Plurinational State of)","165.3","303.3","395.9","502.4","722.8","Country"
"35","South and Central America","Brazil","3,310.4","12,440.0","15,733.6","19,224.1","23,223.6","Country"
"49","South and Central America","Chile","131.1","1,190.1","1,747.1","1,965.2","2,215.7","Country"
"53","South and Central America","Colombia","946.9","2,609.3","3,443.6","4,060.3","5,014.2","Country"
"57","South and Central America","Costa Rica","77.3","271.2","361.5","443.1","531.1","Country"
"59","South and Central America","Cuba","668.9","939.0","761.3","782.3","750.9","Country"
"69","South and Central America","Dominican Republic","255.0","431.6","865.3","1,152.9","1,466.6","Country"
"70","South and Central America","Ecuador","209.1","524.2","526.7","642.1","838.0","Country"
"72","South and Central America","El Salvador","161.5","293.1","291.5","350.9","449.4","Country"
"82","South and Central America","French Guiana","-","12.0","-","-","-","Country"
"94","South and Central America","Guatemala","148.9","533.3","1,149.5","1,532.2","2,264.7","Country"
"100","South and Central America","Honduras","125.1","216.9","268.2","376.5","586.8","Country"
"154","South and Central America","Nicaragua","-","282.8","365.8","485.0","690.6","Country"
"164","South and Central America","Panama","48.2","196.2","236.0","290.9","369.6","Country"
"166","South and Central America","Paraguay","120.8","205.0","274.6","333.4","447.1","Country"
"167","South and Central America","Peru","528.4","942.2","1,300.7","1,587.9","1,970.6","Country"
"171","South and Central America","Puerto Rico","223.6","388.5","413.4","429.7","392.1","Country"
"223","South and Central America","Uruguay","98.5","148.6","275.6","290.9","325.2","Country"
"227","South and Central America","Venezuela (Bolivarian Republic of)","548.7","1,674.6","2,280.0","3,238.0","4,079.3","Country"
