"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"6","South-East Asia","South-East Asia","34,882.2","71,406.9","90,204.5","113,300.0","151,500.0","Region"
"24","South-East Asia","Bangladesh","1,759.7","8,405.6","13,136.3","16,822.0","22,294.1","Country"
"31","South-East Asia","Bhutan","-","21.5","44.8","59.5","84.2","Country"
"103","South-East Asia","India","32,674.4","61,258.4","74,194.7","92,973.7","124,874.7","Country"
"131","South-East Asia","Maldives","-","15.2","27.0","35.6","51.0","Country"
"137","South-East Asia","Mauritius","112.6","138.2","250.4","275.3","278.2","Country"
"149","South-East Asia","Nepal","-","488.2","1,133.5","1,553.4","2,180.1","Country"
"198","South-East Asia","Sri Lanka","335.4","1,079.8","1,417.6","1,559.5","1,749.1","Country"
