Year,State,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Newly Diagnosed Diabetes (Rate per 1000),Newly Diagnosed Physical Inactivity (Percentage) 
2010,Alabama,9.816417910447761,28.253731343283583,13.567164179104477,27.23283582089552
2010,Alaska,7.592592592592593,23.14814814814815,7.2407407407407405,21.35925925925926
2010,Arizona,8.546666666666665,26.94,10.046666666666665,22.933333333333334
2010,Arkansas,8.341333333333333,23.941333333333333,12.029333333333334,23.721333333333334
2010,California,7.584482758620689,22.893103448275863,7.786206896551724,18.81896551724138
2010,Colorado,6.5125,18.671875,5.634375,18.325
2010,Connecticut,7.199999999999999,23.5625,7.5,21.175
2010,Delaware,9.166666666666666,29.5,8.799999999999999,24.400000000000002
2010,District of Columbia,8.4,21.2,7.8,19.5
2010,Florida,9.432835820895523,28.123880597014924,11.076119402985075,24.491044776119406
2010,Georgia,8.347798742138364,21.264150943396228,11.777987421383648,21.569811320754717
2010,Hawaii,7.8,21.46,7.76,17.9
2010,Idaho,7.375,22.538636363636364,8.215909090909092,20.186363636363637
2010,Illinois,7.1872549019607845,20.79019607843137,8.901960784313726,20.745098039215687
2010,Indiana,8.044565217391305,26.294565217391302,10.019565217391303,23.46195652173913
2010,Iowa,7.071717171717172,22.307070707070707,8.255555555555555,20.84040404040404
2010,Kansas,7.419047619047619,22.12761904761905,9.620952380952382,20.768571428571427
2010,Kentucky,8.4025,25.069166666666668,12.365,24.875
2010,Louisiana,9.36875,27.3046875,12.9859375,25.725
2010,Maine,8.03125,27.85625,9.6,21.94375
2010,Maryland,9.025,28.808333333333334,9.9375,24.458333333333332
2010,Massachusetts,7.557142857142857,22.364285714285717,7.228571428571429,20.349999999999998
2010,Michigan,7.871084337349397,25.449397590361446,9.793975903614458,21.566265060240966
2010,Minnesota,7.072413793103448,21.828735632183907,6.625287356321839,19.444827586206898
2010,Mississippi,10.149999999999999,28.650000000000002,14.428048780487805,27.89390243902439
2010,Missouri,7.46,21.973913043478262,10.30695652173913,21.763478260869565
2010,Montana,6.976785714285714,19.948214285714283,6.994642857142857,20.089285714285715
2010,Nebraska,7.090322580645161,22.643010752688173,7.320430107526882,21.455913978494625
2010,Nevada,7.2823529411764705,22.288235294117644,8.51764705882353,20.676470588235293
2010,New Hampshire,7.49,26.119999999999997,8.0,21.28
2010,New Jersey,8.176190476190477,25.152380952380955,8.390476190476189,24.533333333333335
2010,New Mexico,7.618181818181818,23.490909090909092,8.148484848484848,21.336363636363636
2010,New York,7.699999999999999,24.36935483870968,8.3,21.956451612903226
2010,North Carolina,8.793,24.779,11.502,23.304000000000002
2010,North Dakota,7.166037735849057,20.647169811320754,7.8999999999999995,20.669811320754718
2010,Ohio,8.146590909090909,25.89090909090909,10.486363636363636,23.510227272727274
2010,Oklahoma,8.405194805194807,24.794805194805196,12.054545454545455,24.954545454545453
2010,Oregon,7.263888888888889,23.591666666666665,9.391666666666667,18.694444444444443
2010,Pennsylvania,8.234328358208955,26.965671641791044,10.286567164179106,23.449253731343283
2010,Rhode Island,6.58,23.54,7.0,21.419999999999998
2010,South Carolina,10.128260869565217,30.85217391304348,12.604347826086956,26.752173913043475
2010,South Dakota,7.342424242424243,21.78787878787879,8.927272727272728,21.386363636363637
2010,Tennessee,8.046315789473685,24.267368421052634,11.758947368421051,23.618947368421054
2010,Texas,7.5208661417322835,20.208661417322833,9.623228346456694,20.51299212598425
2010,Utah,7.2379310344827585,21.817241379310346,7.372413793103449,19.275862068965516
2010,Vermont,6.535714285714286,23.664285714285715,6.142857142857143,19.114285714285717
2010,Virginia,8.06492537313433,21.86492537313433,10.626119402985076,21.437313432835822
2010,Washington,7.861538461538462,27.351282051282052,9.835897435897436,19.3
2010,West Virginia,8.665454545454546,26.19090909090909,11.807272727272727,25.785454545454545
2010,Wisconsin,7.322222222222223,24.754166666666666,7.522222222222222,20.493055555555557
2010,Wyoming,7.021739130434782,22.8,7.28695652173913,21.082608695652173
2014,Alabama,10.544776119402986,30.029850746268657,12.319402985074626,24.64029850746269
2014,Alaska,7.962962962962963,26.18888888888889,7.325925925925926,19.02962962962963
2014,Arizona,8.94,28.36,8.3,20.793333333333333
2014,Arkansas,8.906666666666666,27.587999999999997,11.473333333333333,23.976
2014,California,7.841379310344828,23.558620689655175,7.043103448275862,17.65344827586207
2014,Colorado,6.696875,21.3,4.9359375,16.415625
2014,Connecticut,7.3375,25.65,5.525,19.0375
2014,Delaware,10.066666666666666,30.733333333333334,10.033333333333333,24.2
2014,District of Columbia,8.8,22.6,8.1,17.6
2014,Florida,9.170149253731344,27.392537313432836,8.970149253731343,23.108955223880596
2014,Georgia,8.779874213836479,24.206289308176103,10.841509433962264,19.81572327044025
2014,Hawaii,7.68,21.18,6.640000000000001,17.56
2014,Idaho,7.413636363636363,25.48409090909091,6.588636363636363,18.16590909090909
2014,Illinois,7.5627450980392155,23.352941176470587,7.729411764705882,18.068627450980394
2014,Indiana,8.670652173913044,28.006521739130434,8.956521739130435,22.710869565217394
2014,Iowa,7.66060606060606,27.043434343434345,7.2868686868686865,20.28080808080808
2014,Kansas,7.968571428571429,27.025714285714283,7.906666666666667,21.176190476190477
2014,Kentucky,9.085,27.965,10.2225,23.524166666666666
2014,Louisiana,9.609375,29.3765625,11.3171875,25.178125
2014,Maine,7.88125,27.66875,7.7625,19.25
2014,Maryland,9.354166666666666,30.008333333333336,7.920833333333333,21.912499999999998
2014,Massachusetts,7.992857142857143,23.157142857142855,6.985714285714286,18.335714285714285
