country,diabetesRatesByCountry_in1000s_2021,diabetesRatesByCountry_percDiabetes2021,diabetesRatesByCountry_Undiag_per1000s_2021,diabetesRatesByCountry_MortalityAttributable_2021,diabetesRatesByCountry_in1000s_2011,diabetesRatesByCountry_percDiabetes2011,diabetesRatesByCountry_Undiag_per1000s_2011,diabetesRatesByCountry_MortalityAttributable_2011
Namibia,75,6.7,40,1674,74.1,7.8,-,872
Gabon,79,5.5,42.1,1215,68.6,10.3,-,704
Lesotho,48.4,4.6,25.8,2761,29.1,3.4,-,1339
Guinea-Bissau,16.8,2.1,9.7,411,19.1,3,-,332
Slovenia,137.8,5.8,46.2,3291,160.4,7.5,-,1448
North Macedonia,116.1,6.1,46,2590,134.9,7.7,-,1507
Latvia,115.8,5.9,38.8,2229,166.3,7.8,-,1817
Equatorial Guinea,39.4,5.5,21,824,14,4.2,-,216
Trinidad and Tobago,148.9,12.7,43.1,2365,117.5,12.7,-,1354
Bahrain,119.8,11.3,40.9,536,150.8,19.5,-,545
Timor-Leste,46.3,8.6,23.8,636,30,7.5,-,644
Estonia,83.9,6.5,40.9,174,90.7,7,-,1264
Mauritius,250.4,22.6,89.3,2320,138.2,14.8,-,1609
Cyprus,87.5,8.6,32,1101,81.8,9.3,-,456
Eswatini,21.8,4.6,11.6,846,13.9,3.1,-,527
Djibouti,53.7,7.4,28.6,883,26.1,6.3,-,359
Reunion,-,-,-,-,92.6,16,-,-
Fiji,99.2,17.7,51.1,1587,55.4,10.9,-,994
Comoros,34.6,11.7,17.8,440,23.5,8.4,-,174
Guyana,54,11.7,18.9,1672,65.6,16.7,-,1260
Bhutan,44.8,10.4,19.5,379,21.5,5.7,-,120
Solomon Islands,53.3,19.8,27.4,1042,34.5,15.3,-,462
Macau,50.9,7.8,23.1,-,32.7,7.2,-,-
Luxembourg,34.6,5.9,11.6,788,21.1,4.5,-,161
Suriname,49.7,12.7,19.7,948,28.5,8.9,-,387
Montenegro,54.7,9.1,21.6,1014,41.9,7.7,-,506
Cape Verde,7.3,2.1,3.9,70,13.1,5.4,-,112
Malta,37.8,8,17.9,735,30.1,6.6,-,228
Maldives,27,9.2,11.8,115,15.2,9.2,-,141
Brunei,35,11.1,15.9,532,19.3,9.4,-,205
Belize,32.2,14.5,13.5,441,24.5,17,-,276
Bahamas,25.6,8.8,7.4,470,28.8,12.1,-,292
Guadeloupe,-,-,-,-,23.9,6.3,-,-
Iceland,20.1,5.5,6.7,394,8.6,3.2,-,56
Martinique,-,-,-,-,43,12.1,-,-
Mayotte,5.7,4.6,3.3,-,-,-,-,-
Vanuatu,19.9,15.6,10.2,371,17.3,16.1,-,250
French Guiana,-,-,-,-,12,9.6,-,-
French Polynesia,52.1,25.2,23.6,-,14.9,8.6,-,-
New Caledonia,49.8,23.4,22.6,-,14.6,8.6,-,-
Barbados,38.8,14,11.2,1008,29.1,12.4,-,263
Sao Tome and Principe,6.1,5.5,3.2,73,3.6,5.5,-,41
Samoa,7.7,9.2,4,135,6.6,7.7,-,151
Curacao,20.3,11.7,5.9,-,-,-,-,-
