YEAR,STATE,RATE,DEATHS,STATE
2018,RI,17.2,249,rhode island
2018,SC,24.8,1580,south carolina
2018,SD,23.3,252,south dakota
2018,TN,24.5,2023,tennessee
2018,TX,21.1,5991,texas
2018,UT,23.5,629,utah
2018,VT,18.2,156,vermont
2018,VA,22.9,2286,virginia
2018,WA,20.4,1779,washington
2018,WV,36.2,927,westvirginia
2018,WI,20.2,1508,wisconsin
2018,WY,21.4,145,wyoming
2017,AL,19.8,"1,173",alabama
2017,AK,19.3,130,alaska
2017,AZ,23.7,"2,054",arizona
2017,AR,32.4,"1,180",arkansas
2017,CA,22.1,"9,595",california
2017,CO,17.2,"1,017",colorado
2017,CT,14.5,694,connecticut
2017,DE,19.1,244,delaware
2017,FL,20.2,"6,172",florida
2017,GA,21.5,"2,348",georgia
2017,HI,15.9,299,hawaii
2017,ID,20.3,394,idaho
2017,IL,19.2,"2,927",illinois
2017,IN,26.6,"2,096",indiana
2017,IA,22.8,918,iowa
2017,KS,25.2,874,kansas
2017,KY,27.7,"1,474",kentucky
2017,LA,23.9,"1,272",louisiana
2017,ME,19.7,395,maine
2017,MD,20.3,"1,439",maryland
2017,MA,15.1,"1,321",massachusetts
2017,MI,22.1,"2,798",michigan
2017,MN,19.3,"1,312",minnesota
2017,MS,33.3,"1,164",mississippi
2017,MO,21,"1,605",missouri
2017,MT,21.6,292,montana
2017,NE,25,575,nebraska
2017,NV,18.3,609,nevada
2017,NH,19.2,340,new hampshire
2017,NJ,16.9,"1,908",new jersey
2017,NM,26.5,673,new mexico
2017,NY,16.8,"4,176",new york
2017,NC,23.6,"2,903",north carolina
2017,ND,21.8,194,north dakota
2017,OH,25.2,"3,740",ohio
2017,OK,30.6,"1,398",oklahoma
2017,OR,23.9,"1,243",oregon
2017,PA,21,"3,704",pennsylvania
2017,RI,18.8,275,rhodeisland
2017,SC,24.5,"1,535",south carolina
2017,SD,24.9,263,south dakota
2017,TN,24,"1,915",tenessee
2017,TX,21.2,"5,832",texas
2017,UT,22.9,596,utah
2017,VT,19.2,163,vermont
2017,VA,20.1,"1,967",virginia
2017,WA,21.6,"1,812",washington
2017,WV,34,864,westvirginia
2017,WI,19.4,"1,433",wisconsin
2017,WY,18.1,121,wyoming
2016,AL,20.1,"1,183",alabama
2016,AK,19.3,124,alaska
2016,AZ,23.9,"2,025",arizona
2016,AR,25.4,920,arkansas
2016,CA,21.4,"9,124",california
2016,CO,16.2,938,colorado
2016,CT,14.9,699,connecticut
2016,DE,17,203,delaware
2016,FL,19.5,"5,782",florida
2016,GA,21.2,"2,238",georgia
2016,HI,15.1,285,hawaii
2016,ID,19.8,375,idaho
2016,IL,18.7,"2,781",illinois
2016,IN,26,"1,992",indiana
2016,IA,20.9,847,iowa
2016,KS,21.2,727,kansas
2016,KY,28.4,"1,479",kentucky
2016,LA,25.5,"1,324",louisiana
2016,ME,23.9,463,maine
2016,MD,19.6,"1,358",maryland
2016,MA,14.9,"1,268",massachusetts
2016,MI,21.5,"2,672",michigan
2016,MN,19.2,"1,265",minnesota
2016,MS,31.9,"1,084",mississippi
2016,MO,20.1,"1,508",missouri
2016,MT,23.6,311,montana
2016,NE,21.9,501,nebraska
2016,NV,17.9,580,nevada
2016,NH,17.9,316,new hampshire
2016,NJ,17.8,"1,949",new jersey
2016,NM,27.2,678,new mexico
2016,NY,16.9,"4,038",new york
2016,NC,23.5,"2,811",north carolina
2016,ND,19.4,171,north dakota
2016,OH,24.6,"3,568",ohio
2016,OK,30.8,"1,393",oklahoma
2016,OR,24,"1,240",oregon
2016,PA,20.3,"3,560",pennsylvania
2016,RI,16.9,239,rhode island
2016,SC,22.3,"1,369",south carolina
2016,SD,23.7,253,south dakota
2016,TN,24,"1,883",tenessee
2016,TX,20.3,"5,470",texas
2016,UT,24.6,624,utah
2016,VT,20.5,166,vermont
2016,VA,21.7,"2,062",virginia
2016,WA,20.3,"1,673",washington
2016,WV,34.8,860,west virginia
2016,WI,19.9,"1,440",wisconsin
2016,WY,16.6,112,wyoming
2015,AL,21.7,"1,255",alabama
2015,AK,23.9,142,alaska
2015,AZ,25.3,"2,081",arizona
2015,AR,24.7,886,arkansas
2015,CA,21.2,"8,845",california
2015,CO,15.9,887,colorado
2015,CT,13.9,653,connecticut
2015,DE,18.1,215,delaware
2015,FL,18.6,"5,403",florida
2015,GA,21.4,"2,210",georgia
2015,HI,14.5,263,hawaii
2015,ID,22.1,403,idaho
2015,IL,19.2,"2,817",illinois
2015,IN,26.9,"2,030",indiana
2015,IA,26.7,"1,077",iowa
2015,KS,20.2,684,kansas
2015,KY,28.2,"1,458",kentucky
2015,LA,23.5,"1,199",louisiana
2015,ME,21.9,407,maine
2015,MD,18.3,"1,243",maryland
2015,MA,16.7,"1,398",massachusetts
2015,MI,22.5,"2,751",michigan
2015,MN,18.6,"1,221",minnesota
2015,MS,32.4,"1,092",mississippi
2015,MO,19.7,"1,468",missouri
2015,MT,24.5,321,montana
2015,NE,24.8,553,nebraska
2015,NV,13.4,420,nevada
2015,NH,17.9,308,new hampshire
2015,NJ,17.9,"1,933",new jersey
2015,NM,24.9,608,new mexico
2015,NY,17.1,"4,045",new york
2015,NC,23.6,"2,746",north carolina
2015,ND,22.6,195,north dakota
2015,OH,25.3,"3,645",ohio
2015,OK,32.4,"1,442",oklahoma
2015,OR,22.9,"1,148",oregon
2015,PA,22.1,"3,777",pennsylvania
2015,RI,20.2,276,rhode island
2015,SC,23.4,"1,347",south carolina
2015,SD,26.3,282,south dakota
2015,TN,23.4,"1,798",tenessee
2015,TX,21.2,"5,521",texas
2015,UT,24.6,604,utah
2015,VT,19.8,159,vermont
2015,VA,21.9,"2,044",virginia
2015,WA,22.4,"1,811",washington
2015,WV,31.7,784,westvirginia
2015,WI,19.4,"1,382",wisconsin
2015,WY,20.8,136,wyoming
2014,AL,22.8,"1,281",alabama
2014,AK,19.4,113,alaska
2014,AZ,24.3,"1,936",arizona
2014,AR,24,828,arkansas
2014,CA,20.4,"8,249",california
2014,CO,15.5,835,colorado
2014,CT,14.9,685,connecticut
2014,DE,19.8,226,delaware
2014,FL,19.2,"5,371",florida
2014,GA,22.3,"2,230",georgia
2014,HI,15.4,276,hawaii
2014,ID,22.9,409,idaho
2014,IL,18.7,"2,712",illinois
2014,IN,24.4,"1,819",indiana
2014,IA,25.6,"1,019",iowa
2014,KS,19.2,643,kansas
