Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2001.0,Vermont,0.9,6.4,16.6,14.9
2001.0,Virginia,1.8,8.6,18.4,10.8
2001.0,Washington,1.6,8.1,14.7,13.4
2001.0,West Virginia,2.3,13.3,17.5,16.2
2001.0,Wisconsin,1.3,7.3,14.4,14.7
2001.0,Wyoming,1.6,5.5,10.2,14.2
2001.0,Guam,3.2,15.9,,
2001.0,Puerto Rico,2.2,16.5,25.6,22.0
2001.0,Virgin Islands of the U.S.,1.4,11.3,21.3,15.4
2002.0,Alabama,2.6,12.7,17.6,20.1
2002.0,Alaska,1.0,5.7,9.4,19.9
2002.0,Arizona,2.0,9.9,16.0,11.4
2002.0,Arkansas,3.0,10.5,17.1,16.0
2002.0,California,2.5,10.5,18.1,22.9
2002.0,Colorado,1.6,6.7,9.8,13.2
2002.0,Connecticut,1.6,7.1,15.5,15.7
2002.0,Delaware,1.4,12.1,16.7,12.7
2002.0,District of Columbia,2.7,11.7,20.8,17.0
2002.0,Florida,2.2,11.3,13.3,15.0
2002.0,Georgia,2.0,11.9,21.3,12.3
2002.0,Hawaii,1.6,7.2,15.7,14.2
2002.0,Idaho,2.4,7.3,16.7,15.9
2002.0,Illinois,1.9,10.8,17.1,13.6
2002.0,Indiana,2.5,10.7,17.8,16.2
2002.0,Iowa,1.9,8.2,14.5,17.4
2002.0,Kansas,1.6,10.2,13.9,14.3
2002.0,Kentucky,3.0,9.8,14.8,13.2
2002.0,Louisiana,2.9,10.5,13.6,16.6
2002.0,Maine,2.2,8.4,20.7,15.2
2002.0,Maryland,2.4,10.6,13.0,16.8
2002.0,Massachusetts,1.9,7.7,12.4,16.3
2002.0,Michigan,2.2,10.6,19.2,22.8
2002.0,Minnesota,1.8,6.6,12.2,11.5
2002.0,Mississippi,2.9,12.9,18.7,18.2
2002.0,Missouri,2.7,9.9,15.9,15.7
2002.0,Montana,2.2,6.9,12.0,11.9
2002.0,Nebraska,1.7,9.0,11.5,12.9
2002.0,Nevada,2.9,8.1,16.1,11.3
2002.0,New Hampshire,1.9,7.5,17.6,17.5
2002.0,New Jersey,1.7,7.7,16.6,15.7
2002.0,New Mexico,1.9,9.8,14.0,11.0
2002.0,New York,2.0,9.3,20.8,17.6
2002.0,North Carolina,1.8,10.2,22.3,16.1
2002.0,North Dakota,2.0,8.2,14.3,13.7
2002.0,Ohio,2.9,9.4,19.5,16.6
2002.0,Oklahoma,2.5,9.1,15.0,14.5
